"NCBI_ID","Genome_ID","Accession_ID","Taxon_name","Attribute","Attribute_value","Attribute_source","Evidence","Frequency","Confidence_in_curation","Rank","Parent_name","Parent_NCBI_ID","Parent_rank"
2223,NA,NA,"Methanosaeta concilii","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanothrix",2222,"genus"
2315,NA,NA,"Methanoplanus limicola","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanoplanus",2314,"genus"
36861,NA,NA,"Thiobacillus denitrificans","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Thiobacillus",919,"genus"
46429,NA,NA,"Sphingobium chlorophenolicum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Sphingobium",165695,"genus"
54120,NA,NA,"Methanoplanus petrolearius","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanolacinia",230355,"genus"
71388,NA,NA,"Vibrio halioticoli","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Vibrio",662,"genus"
57676,NA,NA,"Rhizobium mongolense","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Rhizobium",379,"genus"
83984,NA,NA,"Methanocorpusculum labreanum","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanocorpusculum",2192,"genus"
101192,NA,NA,"Methanomethylovorans hollandica","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Methanomethylovorans",101191,"genus"
101534,NA,NA,"Candidatus Blochmannia pennsylvanicus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Candidatus Blochmannia",203804,"genus"
170673,NA,NA,"Vibrio kanaloae","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Vibrio",662,"genus"
203907,NA,NA,"Candidatus Blochmannia floridanus","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Candidatus Blochmannia",203804,"genus"
251535,NA,NA,"Candidatus Blochmannia vafer","antimicrobial sensitivity",FALSE,"The Microbe Directory","exp","usually","low","species","Candidatus Blochmannia",203804,"genus"
